Name,Filter,Product,Type,Operator,Value
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_RETAIL1557_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_RETAIL1557_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_RETAIL1557_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_RETAIL1557_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAILLIABILITY-1606,storm Contact,Agents,All,N\A
